Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Botswana,BWA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,-10.77468316,3.029488242,2.70887401,6.913131204,15.59400595,10.51448807,8.235571501,2.076534659,2.029737944,5.009258402,4.809249962,5.055481313,5.779523019,1.509584743,1.367987666,2.529699692,-0.20826592,-0.037722892,-6.897679919,-0.332319066,1.488459308,1.468356845,1.994132797,1.989749587,0.668733486,0.987699683,0.558882745,7.501536088,5.565284413,4.36383784,4.23771954,4.808086327,4.521739634,4.759384717,2.032694156,1.707877432,8.742549991,3.695999997,2.671375786,3.168523119,4.708381657,0.06723666,
Central African Republic,CAF,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,-0.560847351,0.996511686,3.247514248,0.67042774,0.832097612,1.223261014,0.67848512,0.80731978,0.345905908,0.727137987,0.990741019,-0.30258951,0.104157669,0.048437881,-0.353864316,-0.756175026,-0.780440981,0.423212354,0.555910243,1.084111039,0.159684103,0.754709452,0.598007105,0.097219751,0.55631182,0.569331815,0.991441318,1.188901252,0.755217887,2.373743743,3.341920021,5.899037027,2.133491428,3.097660631,1.668028206,3.206468186,0.12200942,0.204064252,0.189420635,1.776461626,
Canada,CAN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.077517923,2.290032793,1.867915927,2.425027516,2.321243223,1.947941599,1.186362422,1.59338726,1.710699134,2.183605525,2.122779752,0.216749136,0.028722569,0.587141206,1.337676268,0.371933318,0.754694286,1.881370364,1.196627609,1.066574498,1.276346989,0.470957646,0.806362924,0.822782333,1.422453076,1.542823715,1.532919334,1.765072682,3.599559414,3.6665274,9.202457664,3.85570017,3.231967339,0.785746248,0.140922422,2.184559416,4.888360937,8.220132909,4.526210919,1.526554641,1.841558834,2.142292214,2.706688355,3.638694101,3.583791384,3.522804718,2.098782076,
Central Europe and the Baltics,CEB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074049426,1.154267966,1.350269375,2.192406411,1.765160132,3.231277349,2.735163642,3.485098768,4.368816192,5.021802777,5.517356598,4.605383071,5.014957314,3.212088488,5.627164716,6.243386639,8.161675459,12.1554782,9.086397314,2.425635547,1.555789584,3.423422188,2.883305955,1.05917278,3.724293633,1.787643359,8.180707667,
Switzerland,CHE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,0.577323359,0.731169939,1.17600493,1.37387097,1.199327369,0.193622542,1.235746492,2.148591612,1.087184706,0.415168502,0.64570401,1.258411483,1.213672373,1.324765852,2.549991711,3.270382297,4.286123054,8.483886475,3.504636375,2.739744533,5.588049222,1.801864139,0.652062696,12.47577839,10.14523321,0.539526277,8.801107709,3.02693574,2.968137248,5.979174634,-3.620379777,2.872227362,14.36465816,-2.648884465,
Channel Islands,CHI,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,0.655977095,-0.00966938,0.150398627,1.131962166,1.119076275,0.733554183,1.109827162,1.583359753,0.663196455,0.39750231,0.815121359,1.670103143,4.001274713,3.716941086,4.294698261,1.996745304,2.174453509,2.036579343,2.098066372,4.52933051,4.026028906,6.169454628,6.205124781,5.672914638,11.6543488,6.241918165,5.916832274,3.656495171,5.366406565,6.902194853,6.12008285,4.948153025,7.812445733,10.36937999,8.101445807,7.391569308,9.662395488,11.44108451,7.576675976,9.20013457,8.440083748,4.949007973,
China,CHN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,0.209664357,0.275698543,0.483945715,0.536046583,0.623424606,0.847702965,1.022558946,0.97565029,0.966308311,1.138837732,2.613162193,6.186882076,5.987156294,4.88044416,4.651826651,4.600334666,4.251619792,3.542330604,3.475082246,3.51300212,3.609099885,3.48740331,3.483641114,4.554254034,4.508579016,4.398685695,3.730468946,2.564740561,3.994731929,3.698517372,2.817738858,3.028225603,2.557600305,2.191564801,1.522942361,
Cote d'Ivoire,CIV,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,1.773517139,0.96050266,0.233887748,1.054521131,0.817522605,0.93027604,0.388408915,0.627362769,0.548775763,0.317778931,0.417889533,0.77248707,0.867497618,0.504176768,0.18954636,0.445679822,0.155403142,-2.069713043,0.795780797,0.938097252,1.922539659,2.217443032,3.542898469,3.013107328,2.615216668,2.189989261,2.436261781,1.722123009,1.080236237,1.709389756,2.042272245,1.969861614,2.178644702,1.925661354,1.631267116,1.439124099,1.188172139,1.221403625,1.302963058,1.240430526,1.491050013,1.322499827,
Cameroon,CMR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,0.258751483,0.919482998,1.068579971,1.926015109,1.772981849,1.521803398,2.896578366,0.226454442,3.88095695,-0.853957289,0.942298428,0.739296882,-0.769605211,-1.011797042,-0.116596577,0.256256396,0.033040869,-0.084958052,0.075616502,0.963684736,0.723087042,2.026837857,-0.138365951,1.579852554,-0.112407854,4.342923125,2.296661985,0.38932519,1.357019676,0.305174785,0.84653983,0.079178526,2.856818949,2.049213283,2.223852486,1.812074547,1.691747967,2.074493154,2.244962642,0.397927699,
